epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.617,1.86675,0.7152,0.96788,0.88695,0.000237304,0.000237304,0.000237304
2,110.28,0.98415,0.78158,0.98501,0.62668,0.000451777,0.000451777,0.000451777
3,173.339,0.83776,0.79372,0.99286,0.62952,0.000642687,0.000642687,0.000642687
4,218.869,0.77336,0.81585,0.99001,0.53482,0.000607971,0.000607971,0.000607971
5,264.303,0.72511,0.81656,0.99286,0.53809,0.000572628,0.000572628,0.000572628
6,308.037,0.69875,0.82655,0.99143,0.5216,0.000537285,0.000537285,0.000537285
7,357.594,0.64462,0.83869,0.99358,0.47989,0.000501942,0.000501942,0.000501942
8,412.175,0.63553,0.8344,0.99286,0.47815,0.000466599,0.000466599,0.000466599
9,455,0.59831,0.83155,0.995,0.48869,0.000431256,0.000431256,0.000431256
10,499.369,0.56983,0.84797,0.99643,0.4803,0.000395913,0.000395913,0.000395913
11,554.76,0.55286,0.8444,0.99358,0.46851,0.00036057,0.00036057,0.00036057
12,604.696,0.54489,0.84297,0.99786,0.46348,0.000325227,0.000325227,0.000325227
13,647.929,0.5158,0.8444,0.99429,0.47676,0.000289884,0.000289884,0.000289884
14,696.096,0.4812,0.84511,0.99572,0.45762,0.000254541,0.000254541,0.000254541
15,738.173,0.47638,0.85082,0.995,0.47611,0.000219198,0.000219198,0.000219198
16,781.836,0.47275,0.85153,0.995,0.4676,0.000183855,0.000183855,0.000183855
17,843.742,0.45105,0.84511,0.995,0.45768,0.000148512,0.000148512,0.000148512
18,903.951,0.45741,0.84511,0.99786,0.45869,0.000113169,0.000113169,0.000113169
19,963.348,0.4503,0.84868,0.99714,0.45448,7.7826e-05,7.7826e-05,7.7826e-05
20,1022.96,0.41899,0.84797,0.99643,0.45276,4.2483e-05,4.2483e-05,4.2483e-05
